no,text
612,oauth authentication code does n't fail when access token is null . when consuming some apis such as facebook or google contacts a response code 400 is returned according to the log   but it does not match with the debugger http response code   which is 401 note : using success status code validator   does not avoid the exception . we tested with 400 and 401 see attached documents
613,spring spike part ii : take lifecycle away from spring . continue the spring registry spike   this time try to take lifecycle control away from spring
614,spring spike part iii : make a fast registry for tests . continue the spring spile . this time   make a fast registry for tests
615,the changes in mule-7742 impacted in performance   a better solution should be used . . review that changes in mule-7742 and the previous changes proposed by victor romero .
616,deprecate org.mule.util.scan classes in core in order to support java 8 . our current version of asm ( 3.3.1 ) is not fully compliant with java 8   so we need to deprecate it use for 3.7 m1 and look for a replacement in 3.7 m2 .
617,support tls sni extension in http outboundendpoint . java does not send sni because of the the socket is created . while java 7 supports the sni extension with tls it only uses it if the hostname is specified when the socket is created rather than a inetaddress ( it does n't get hostname from inetaddress ) .
618,test support for tls sni extension in http module requester . currently not supported . also review listener support .
619,mule 3.6 https request connector does not validate certificate presented by remote server . the server ssl certificate is not validated by requestor at all .
620,httprequester not configuring tls cipher suites and protocols . the http requester from the new module is not configuring restricted protocols and cipher suites for tls .
621,document new http connector . add documentation for http connector
622,discuss how to : mule test harness should include mule jars in test classpath . now when a user creates a maven mule project when he runs the tests gets errors because not including in the classpath mule jars . we should have a way to make tests include those jars . one possible solution is to make the archetypes include mule esb distribution dependency with runtime scope . this way all transitive dependencies would be included when running tests .
623,oauth2 postauthorize ( ) with an expired token fails even if token was refreshed . the box connector has a postauthorize method that invokes one of the connector 's processors . when one of the connector 's processors is invoked and the postauthorize is called with an expired access token   the baseoauth2manager is able to refresh the access token but re-throws the token expired exception which makes processor invocation fail . i believe the issue can be found in the following method : org.mule.security.oauth.baseoauth2manager.postauth ( oauth2adapter   string )
624,http listener does not handle `` expect : 100-continue '' ( rfc 2616 ) header correctly . this can cause depending the scenario : 1 ) 1s latency overhead 2 ) requests to hang
625,401 response received   but no www-authenticate header was present . i 've been searching and and tinkering since last week to figure out what is wrong with this   but no matter how i tried it still gives me this error in the console . i 'm testing the http connector ( 3.6 ee ) against twitter rest api vs testing with chrome 's postman rest client . with the postman client   it is working fine when posting status update . however with mule it fails and gives me the error mentioned . i even added `` www-authenticate '' ( replaced `` authorization '' ) before the call to http connector itself   and tried with adding it to header as well   still everything fails . note : for the get timeline it is working both on postman rest client and http connector   but when i tried on posting to status/update.json   postman is successful   while anypoint http connector fails .
626,http listener allows inexistent keystore . when i create an https listener mule validates that the trustsore file exists but it does n't validate that the keystore file exists . try with the attached config . create the truststore like this : keytool -genkey -alias mule -keyalg rsa -keystore keystore.jks -dname `` cn=mule   ou=engineering   o=mulesoft   l=ba   st=ba   c=ar ''
627,allow cipher suite and protocol configuration per connector . tls cipher suite configuration is done through conf/tls-default.conf for all the mule server . we need a way to allow per connector configuration . use cases : - connect to a legacy api uses a vulnerable cipher suite for which the vulnerability has been mitigated   but i do n't want to allow that cipher suite for other consumed apis . - because of internal security policy i need to use a particular set of cipher suites to publish an api but i need to consume an external api wich uses a different cipher suites not allowed internally .
628,allow to set certificate alias in keystore configuration . when multiple certificates are installed in the keystore file   we need to provide a mechanism to pick one in the tls context element . how this is done can be review but most likely is using the certificate alias . so an alias optional attribute must be used in the keystore element . when there are multiple certificates and alias is not defined we should define hich on we should pick .
